 A(%),No_B,RB,VE_B,EB,Tm(B), B(%),No_C,RC,VE_C,EC,Tm(C),C(%),No_D,RD,VE_D,ED,Tm(D),D(%),Tg/Tl
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,4,60,206,6,1.14,1021,7,0.56
57,29,145,11,1.9,1084.62,31.5,39,206,3,1.22,1522,9.2,60,206,6,1.14,1021,2.3,0.551
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,6,60,206,6,1.14,1021,5,0.55
70,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,6.6,60,206,6,1.14,1021,5.4,0.549
57,29,145,11,1.9,1084.62,31.5,39,206,3,1.22,1522,8,60,206,6,1.14,1021,3.5,0.548
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,8,60,206,6,1.14,1021,3,0.54
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,10,60,206,6,1.14,1021,1,0.54
58,29,145,11,1.9,1084.62,25,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,7,0.58
65,29,145,11,1.9,1084.62,20,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,5,0.568
58,29,145,11,1.9,1084.62,27,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,5,0.567
70,29,145,11,1.9,1084.62,14.5,39,206,3,1.22,1522,7,30,142,2,1.65,419.53,3.5,0.543
58,29,145,11,1.9,1084.62,15,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,5,0.55
58.5,29,145,11,1.9,1084.62,30.5,39,206,3,1.22,1522,2,64,233,10,1.2,1313,9,0.562
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1021,8,60,206,6,1.14,1021,2,0.592
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1313,6,60,206,6,1.14,1021,4,0.587
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1313,2,60,206,6,1.14,1021,8,0.58
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1313,4,60,206,6,1.14,1021,6,0.576
65,29,145,11,1.9,1084.62,20,64,233,10,1.14,1313,10,28,149,10,1.91,1455,5,0.53
75,29,145,11,1.9,1084.62,5,64,233,10,1.14,1313,10,28,149,10,1.91,1455,10,0.543
70,29,145,11,1.9,1084.62,15,64,233,10,1.14,1313,10,28,149,10,1.91,1455,5,0.524
65,29,145,11,1.9,1084.62,15,64,233,10,1.14,1313,15,47,165,11,1.93,961.8,10,0.58
65,29,145,11,1.9,1084.62,10,64,233,10,1.14,1313,10,47,165,11,1.93,961.8,15,0.656
65,29,145,11,1.9,1084.62,20,64,233,10,1.14,1313,10,47,165,11,1.93,961.8,5,0.614
61,47,165,11,1.93,961.8,4,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,0.591
60,47,165,11,1.93,961.8,5,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,0.574
62,47,165,11,1.93,961.8,3,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,0.586
63,47,165,11,1.93,961.8,2,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,0.586
68,47,165,11,1.93,961.8,7,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,0.585
69,47,165,11,1.93,961.8,6,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,0.58
70,47,165,11,1.93,961.8,5,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,0.588
71,47,165,11,1.93,961.8,4,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,0.569
